Row.names	Gene	C1	P.Val1	C2	P.Val2	C3	P.Val3	C4	P.Val4	C5	P.Val5	Feature name (mandatory); this is the primary systematic name, if available	Gene name (locus name)	Primary CGDID	Description	Name of S. cerevisiae ortholog(s) (multiples separated by |)	Zscore1	Zscore2	Zscore3	Zscore4	Zscore5	C1_2_0.05	C2_2_0.05	C3_2_0.05	C4_2_0.05	Metago2019	SubMetago	Fsimplify	C1_1.5_0.01	C2_1.5_0.01	C3_1.5_0.01	C4_1.5_0.01	sumLow_1.5_0.01	colLow	diffLow	sumHigh_1.5_0.01	colHigh	diffHigh	type
11	CAGL0A01826g	CAGL0A01826g	1.94816666666667	1.69129235357645e-05	2.75108333333333	9.79639222954771e-07	0.3945	0.07095833056489	0.2715	0.201397922840795	-0.166666666666667	0.507249304969542	CAGL0A01826g	HXT5	CAL0126791	Ortholog(s) have glucose transmembrane transporter activity, role in glucose transmembrane transport and plasma membrane localization	HXT3	2.21916965765088	3.54282792513415	0.807237199433002	0.36639500676043	-0.355096952955872	1	1	0	0	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	1	1	0	0	2	red	UP	0	black	NO	OFF
12	CAGL0A02002g	CAGL0A02002g	3.18166666666667	0.000112945743604975	1.65008333333333	0.00128157143085918	-0.354333333333333	0.170351376871109	-0.733833333333334	0.0594238494403547	-1.881	0.00498316928595441	CAGL0A02002g		CAL0126683	Ortholog of S. cerevisiae : YOL024W and Saccharomyces cerevisiae S288C : YOL024W	YOL024W	3.66020850958818	2.09562969492456	-1.04307822064384	-1.39232570314996	-5.13864351341879	1	1	0	0	METABOLISM	ENERGY PRODUCTION (NON RESPIRATORY)	F1	1	1	0	0	2	red	UP	0	black	NO	OFF
13	CAGL0A02112g	CAGL0A02112g	-1.67433333333333	4.44080047044319e-05	-1.36583333333333	0.000228238897321503	-0.308	0.0180077279046123	-0.558333333333333	0.0269017482160438	0.138166666666666	0.572413363612859	CAGL0A02112g		CAL0126765	Ortholog(s) have asparagine-tRNA ligase activity and role in asparaginyl-tRNA aminoacylation	DED81	-2.01282324153264	-1.86861123373992	-0.928591755747029	-1.08530764818716	0.495487011567429	-1	0	0	0	METABOLISM	PROTEIN SYNTHESIS	F1	-1	-1	0	0	-2	chartreuse	DOWN	0	black	NO	OFF
14	CAGL0A02145g	CAGL0A02145g	1.17816666666667	4.82451950454228e-05	1.045	0.00146219839505755	1.02833333333333	9.57674116857132e-05	-0.375333333333333	0.0972090431711692	-1.274	0.000746674907845359	CAGL0A02145g		CAL0126901	Ortholog(s) have actin filament binding activity, role in actin cortical patch localization, actin cytoskeleton organization, actin filament bundle assembly, actin filament organization, endocytosis and actin cortical patch localization	YSC84	1.31961561144762	1.3002840735537	2.3733955663487	-0.765169163525088	-3.44491645010886	0	0	1	0	REGULATION	OTHERS	F2	0	0	1	0	0	black	NO	1	firebrick	UP	OFF
15	CAGL0A02211g	CAGL0A02211g	2.03016666666667	0.00154060947591211	1.40525	0.000780177058928548	-0.0296666666666667	0.871793529610187	0.742666666666667	0.0305863948439327	-0.2265	0.567482899592301	CAGL0A02211g	HXT6/7	CAL0126597	Ortholog(s) have glucose transmembrane transporter activity, pentose transmembrane transporter activity, role in glucose transmembrane transport and plasma membrane localization	HXT7	2.31496632231149	1.77381101490975	-0.240849322733826	1.19064955697871	-0.522051377922447	1	0	0	0	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	1	1	0	0	2	red	UP	0	black	NO	OFF
16	CAGL0A02233g	CAGL0A02233g	2.27783333333333	0.000691644124308519	1.51175	0.000352634514158719	0.00299999999999967	0.988484085873163	0.739666666666667	0.0186204978171599	-0.243166666666667	0.512388055762478	CAGL0A02233g	HXT4/6/7	CAL0126661	Ortholog(s) have glucose transmembrane transporter activity and membrane, plasma membrane localization	HXT6	2.6043034029734	1.91379885461667	-0.160132246763415	1.18540138509901	-0.568556788776646	1	0	0	0	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	1	1	0	0	2	red	UP	0	black	NO	OFF
17	CAGL0A02277g	CAGL0A02277g	-0.200333333333333	0.491473362807372	3.60891666666667	4.03929323648716e-07	2.05166666666667	5.86824857333107e-06	-0.847833333333334	0.00805526605053115	1.494	0.000871251514989957	CAGL0A02277g		CAL0126737	Protein of unknown function		-0.290819781657824	4.67039820834468	4.90198151766671	-1.5917562345788	4.27870218455653	0	1	1	0	UNCLASSIFIED	_	Others	0	1	1	-1	1	firebrick	UP	0	white	SWITCH	SWITCH
18	CAGL0A02299g	CAGL0A02299g	1.80733333333333	6.85146269640086e-05	2.02691666666667	1.29218537000584e-05	-0.254666666666667	0.181845077584459	1.09233333333333	0.000636800967427197	-0.453333333333333	0.134344584992737	CAGL0A02299g		CAL0126895	Protein of unknown function		2.05464083318297	2.5909544297874	-0.796808774570848	1.8023531460689	-1.1549900196481	1	1	0	0	UNCLASSIFIED	_	Others	1	1	0	1	2	red	UP	1	firebrick	UP	Type II
19	CAGL0A02816g	CAGL0A02816g	1.51266666666667	3.528045052699e-05	1.33641666666667	0.000258006419837358	-0.569833333333334	0.00550522201900391	-1.30266666666667	0.000385254283198501	0.0755000000000001	0.827301726192023	CAGL0A02816g		CAL0126911	Putative 2-methylbutyraldehyde reductase; gene is upregulated in azole-resistant strain	YPR1	1.71039590814241	1.68333374135895	-1.57556382895885	-2.38743740456312	0.320626666755641	0	0	0	-1	REDOX SIGNALING	NAD(P)/NAD(P)H DEPENDANT ENZYME	F3	1	1	-1	-1	2	red	UP	-2	chartreuse	DOWN	Type I
20	CAGL0A03102g	CAGL0A03102g	2.1285	8.82770106720388e-06	0.39075	0.137927403887985	0.314833333333333	0.0565417660525327	-0.7835	0.00807243956885043	-0.426166666666666	0.159285354438217	CAGL0A03102g	ARO10	CAL0126567	Ortholog(s) have carboxy-lyase activity, phenylpyruvate decarboxylase activity	ARO10	2.42984443643701	0.440311828217989	0.610386371301078	-1.47921210426954	-1.07918619995575	1	0	0	0	IRON-SULFUR CLUSTER SYNTHESIS AND ASSEMBLY	_	F5	1	0	0	0	1	firebrick	UP	0	black	NO	OFF
21	CAGL0A03366g	CAGL0A03366g	0.107333333333333	0.472481456006449	-0.204	0.364422535694068	1.35583333333333	3.47438980651115e-05	-0.299833333333333	0.194137678653763	-0.870333333333333	0.0029667198386455	CAGL0A03366g		CAL0126639	Ortholog(s) have IMP cyclohydrolase activity, phosphoribosylaminoimidazolecarboxamide formyltransferase activity and role in 'de novo' IMP biosynthetic process, IMP biosynthetic process, purine nucleotide biosynthetic process	ADE16	0.0686124194874608	-0.341451248455174	3.1826254351337	-0.633090171219151	-2.31855539922016	0	0	1	0	REDOX SIGNALING	METABOLISM	F3	0	0	1	0	0	black	NO	1	firebrick	UP	OFF
22	CAGL0A03476g	CAGL0A03476g	1.16683333333333	0.000752305136295934	1.61475	4.42183546959062e-05	-0.274	0.0419825312947282	0.254	0.323902554361534	0.457833333333333	0.0658357316930259	CAGL0A03476g	SMF3	CAL0126833	Ortholog(s) have role in cellular iron ion homeostasis, iron ion transport and fungal-type vacuole membrane, plasma membrane localization	SMF3	1.30637542202298	2.0491861549905	-0.844580105247213	0.335780670795478	1.38746079175097	0	1	0	0	TRANSPORT / TRAFFICKING	VACUOLAR MEMBRANE	F4	0	1	0	0	1	firebrick	UP	0	black	NO	OFF
23	CAGL0A03542g	CAGL0A03542g	-1.9575	0.000138188773758526	-1.73633333333333	0.000148004793730492	0.293666666666667	0.0471873570004444	1.0125	0.00274639467395853	0.409333333333334	0.173794872261086	CAGL0A03542g	COX12	CAL0126937	Cytochrome c oxidase	COX12	-2.34363326848054	-2.35561118314287	0.558085000646782	1.66269346104783	1.25213004616525	-1	-1	0	0	REDOX SIGNALING	RESPIRATORY CHAIN	F3	-1	-1	0	1	-2	chartreuse	DOWN	1	firebrick	UP	Type I
24	CAGL0A03740g	CAGL0A03740g	1.5895	0.00011763562348593	0.315833333333334	0.165529300224029	2.89916666666667	1.10779130649143e-06	2.75083333333333	1.89871820134404e-06	-0.417333333333333	0.0851239408351592	CAGL0A03740g		CAL0126919	Ortholog(s) have role in fatty acid beta-oxidation, long-chain fatty acid catabolic process and peroxisome localization		1.80015660409473	0.341838379159676	6.99609545291948	4.70371750023308	-1.05453833220303	0	0	1	1	REDOX SIGNALING	PEROXISOME	F3	1	0	1	1	1	firebrick	UP	2	red	UP	Type II
25	CAGL0A03905g	CAGL0A03905g	2.56133333333333	1.08328909074184e-06	1.211	0.000277309831001089	-1.16733333333333	0.000222070289078978	-1.09183333333333	0.0014871570395912	0.00900000000000012	0.975243416575346	CAGL0A03905g	HMX1	CAL0126925	Ortholog(s) have heme oxygenase (decyclizing) activity and role in cellular iron ion homeostasis, heme catabolic process, response to carbon monoxide, response to oxidative stress	HMX1	2.93550284725733	1.51848108192318	-3.05194503994827	-2.01860754746156	0.135070077447387	1	0	-1	-1	REDOX SIGNALING	OXYGEN DEPENDENT ENZYME	F3	1	1	-1	-1	2	red	UP	-2	chartreuse	DOWN	Type I
26	CAGL0A04015g	CAGL0A04015g	-1.68983333333333	0.000116869825443717	-1.13008333333333	0.00433536459499199	-0.163333333333333	0.275074663359926	-0.124	0.64747047440062	-0.0511666666666668	0.886323124051002	CAGL0A04015g		CAL0126595	Ortholog(s) have role in rRNA processing and box C/D snoRNP complex, nucleolus, small-subunit processome localization	NOP56	-2.03093114765751	-1.55873204866098	-0.571130419306634	-0.325488986047489	-0.0328144557362725	-1	0	0	0	METABOLISM	RIBOSOMAL BIOGENESIS	F1	-1	-1	0	0	-2	chartreuse	DOWN	0	black	NO	OFF
27	CAGL0A04499g	CAGL0A04499g	1.37916666666667	9.4439159582949e-05	0.696333333333333	0.0654924207471264	-0.532666666666666	0.0129179788019559	-1.63083333333333	0.000636800967427197	-0.282	0.549156204225927	CAGL0A04499g		CAL0126843	Ortholog(s) have electron transfer activity, iron ion binding, zinc ion binding activity, role in peptidyl-diphthamide biosynthetic process from peptidyl-histidine, tRNA wobble uridine modification and cytoplasm, nucleus localization	KTI11	1.55443426506691	0.841982726657176	-1.4837275639517	-2.96152909518208	-0.67691439606693	0	0	0	-1	REGULATION	TRANSLATION	F2	1	0	0	-1	1	firebrick	UP	-1	darkgreen	DOWN	Type I
28	CAGL0A04653g	CAGL0A04653g	-0.102333333333333	0.360070742286872	0.133333333333333	0.561485066468097	0.359833333333333	0.00952386957818767	1.68683333333333	0.000214015144377093	0.214833333333333	0.362409157632526	CAGL0A04653g		CAL0126535	Ortholog(s) have glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity, role in glutaminyl-tRNAGln biosynthesis via transamidation, mitochondrial translation and glutamyl-tRNA(Gln) amidotransferase complex, mitochondrion localization	PET112	-0.176331084868318	0.1019531139342	0.721578261668483	2.84236587356399	0.709411901496746	0	0	0	1	METABOLISM	MITOCHONDRIAL BIOGENESIS	F1	0	0	0	1	0	black	NO	1	firebrick	UP	OFF
29	CAGL0A04829g	CAGL0A04829g	1.92133333333333	0.00423068440349706	0.95075	0.00197812221018398	-0.110833333333333	0.679502373049803	1.21666666666667	0.000453765838248557	-0.5155	0.166991432095012	CAGL0A04829g		CAL0126777	Putative hexokinase isoenzyme 2; protein differentially expressed in azole resistant strain	HXK1	2.18782156210137	1.1763981215126	-0.441406547211328	2.01986071397227	-1.32845520213426	1	0	0	1	METABOLISM	ENERGY PRODUCTION (NON RESPIRATORY)	F1	1	0	0	1	1	firebrick	UP	1	firebrick	UP	Type II
30	CAGL0B00286g	CAGL0B00286g	-0.641	0.0457563790864687	-1.50225	2.42653591594402e-05	0.00133333333333338	0.992915157942929	-0.415666666666667	0.0742500052367699	-0.0286666666666667	0.917408152439277	CAGL0B00286g		CAL0127052	Ortholog(s) have L-serine ammonia-lyase activity, L-threonine ammonia-lyase activity, role in L-serine catabolic process, threonine catabolic process and mitochondrial nucleoid localization	CHA1	-0.805629499874582	-2.04792273107969	-0.164250464925169	-0.835727918796692	0.0299678489168966	0	-1	0	0	METABOLISM	AMINO ACID METABOLISM	F1	0	-1	0	0	-1	darkgreen	DOWN	0	black	NO	OFF
31	CAGL0B00594g	CAGL0B00594g	-1.34483333333333	0.000128742536689023	-2.04541666666667	1.26047727181559e-05	-0.644	0.00229784160989109	-0.295666666666667	0.288934748308145	-0.0531666666666666	0.870058441148527	CAGL0B00594g		CAL0127790	Predicted GPI-linked protein	YCL048W-A	-1.62788420487812	-2.76188262091515	-1.75882453715698	-0.625801043608448	-0.0383951050387757	0	-1	0	0	UNCLASSIFIED	_	Others	-1	-1	-1	0	-2	chartreuse	DOWN	-1	darkgreen	DOWN	Type II
32	CAGL0B00792g	CAGL0B00792g	-1.3975	0.000367580106866542	-1.39291666666667	9.91710831233351e-05	0.1345	0.513953630151055	-1.09466666666667	0.00136227299583086	0.384	0.22367842823702	CAGL0B00792g		CAL0127048	Ortholog(s) have RNA binding activity, role in regulation of translation and cytoplasmic stress granule, polysome localization	SRO9	-1.68941214396908	-1.90421064524598	0.164795166199112	-2.02356415423684	1.18144182166687	0	0	0	-1	METABOLISM	RIBOSOMAL BIOGENESIS	F1	-1	-1	0	-1	-2	chartreuse	DOWN	-1	darkgreen	DOWN	Type II
33	CAGL0B00814g	CAGL0B00814g	1.94983333333333	2.26567433403546e-05	1.29833333333333	0.000204093063244408	0.0775	0.609455167126698	0.332833333333333	0.128464648701255	-0.204166666666667	0.41606050914865	CAGL0B00814g		CAL0127868	Ortholog(s) have role in actin cortical patch localization, actin cytoskeleton organization, actin filament organization, endocytosis and actin cortical patch, cell cortex, cytoplasm localization	LSB5	2.22111674433097	1.63327549194888	0.0239521050670664	0.473690965189976	-0.45973412737782	1	0	0	0	TRANSPORT / TRAFFICKING	INTRACELLULAR TRANSPORT	F4	1	1	0	0	2	red	UP	0	black	NO	OFF
34	CAGL0B00946g	CAGL0B00946g	1.25766666666667	3.99406729684607e-05	2.25183333333333	6.99934164659552e-06	0.0258333333333335	0.85725752584956	0.108	0.61220868255014	0.122333333333333	0.56959530857553	CAGL0B00946g		CAL0127160	Ortholog(s) have cytosol localization	RNQ1	1.41249164608809	2.88659385026391	-0.10371265794736	0.0803696393164479	0.45130687125594	0	1	0	0	UNCLASSIFIED	_	Others	0	1	0	0	1	firebrick	UP	0	black	NO	OFF
35	CAGL0B00990g	CAGL0B00990g	3.69033333333333	1.15435124526941e-05	2.86075	6.64409201516412e-06	0.438666666666667	0.137808293478599	1.04283333333333	0.0402555567531756	-0.820666666666667	0.0639393726757641	CAGL0B00990g	HBN1	CAL0126996	Ortholog(s) have oxidoreductase activity, acting on NAD(P)H, nitrogenous group as acceptor activity and role in cellular response to oxidative stress, negative regulation of fatty acid metabolic process	FRM2	4.25445936435276	3.68697815757101	0.91636998071953	1.71575831005375	-2.17996927487465	1	1	0	0	REDOX SIGNALING	FLAVO HEMO PROTEIN	F3	1	1	0	0	2	red	UP	0	black	NO	OFF
36	CAGL0B01012g	CAGL0B01012g	0.816166666666667	0.0558837062349402	0.679083333333333	0.112229862109202	-1.70725	0.0024742885238603	-0.244	0.591032262822631	1.95333333333333	0.00516638355575614	CAGL0B01012g		CAL0127012	Ortholog(s) have L-proline transmembrane transporter activity, amino acid transmembrane transporter activity, role in amino acid transport, transmembrane transport and plasma membrane localization	AGP1	0.896708384531285	0.819308639944083	-4.38604181344903	-0.535415861235732	5.56039130769826	0	0	-1	0	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	0	0	-1	0	0	black	NO	-1	darkgreen	DOWN	OFF
37	CAGL0B01122g	CAGL0B01122g	-1.3195	9.27268178739275e-05	-1.08091666666667	0.000827549625910965	-0.370416666666667	0.0178190772576002	-1.22466666666667	0.000454198485917683	0.29	0.174114539262129	CAGL0B01122g	SAM1	CAL0127746	S-adenosylmethionine synthetase	SAM1	-1.5982884873407	-1.49410542469613	-1.08281902590478	-2.25098493569077	0.919151304449184	0	0	0	-1	IRON-SULFUR CLUSTER SYNTHESIS AND ASSEMBLY	_	F5	-1	0	0	-1	-1	darkgreen	DOWN	-1	darkgreen	DOWN	Type II
38	CAGL0B01507g	CAGL0B01507g	-2.71033333333333	9.36837256146537e-05	-1.62833333333333	1.74614113687093e-05	0.4895	0.161850785851237	0.207833333333333	0.367491447820627	1.06183333333333	0.0331388869841821	CAGL0B01507g	ARG8	CAL0127072	Ortholog(s) have N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity, role in arginine biosynthetic process, arginine biosynthetic process via ornithine, ornithine biosynthetic process and mitochondrial matrix localization	ARG8	-3.22313232187884	-2.21365168372177	1.04197563465308	0.255017136868889	3.07281688110715	-1	-1	0	0	METABOLISM	AMINO ACID METABOLISM	F1	-1	-1	0	0	-2	chartreuse	DOWN	0	black	NO	OFF
39	CAGL0B01639g	CAGL0B01639g	0.00116666666666662	0.995243840139336	0.0515	0.845550862168324	0.418666666666667	0.024285161826352	1.29416666666667	0.00110256811163713	0.0211666666666667	0.949623573859146	CAGL0B01639g		CAL0127848	Ortholog(s) have guanyl-nucleotide exchange factor activity and role in retrograde transport, endosome to Golgi	RGP1	-0.0554170020345038	-0.00561187713950692	0.86695136277846	2.15543848753135	0.169019027370952	0	0	0	1	TRANSPORT / TRAFFICKING	ER/GOLGI TRANSPORT SYSTEM	F4	0	0	0	1	0	black	NO	1	firebrick	UP	OFF
40	CAGL0B01727g	CAGL0B01727g	2.2855	2.34407035273736e-06	2.74358333333333	5.26256839939411e-07	-0.153916666666666	0.284622121233409	0.344	0.116662051972078	-0.0925	0.678890411964091	CAGL0B01727g		CAL0127060	Ortholog(s) have D-ribulokinase activity and role in pentose metabolic process	YDR109C	2.61326000170183	3.53296962656324	-0.547862486692713	0.493225827186661	-0.148147874654686	1	1	0	0	METABOLISM	ENERGY PRODUCTION (NON RESPIRATORY)	F1	1	1	0	0	2	red	UP	0	black	NO	OFF
41	CAGL0B01881g	CAGL0B01881g	-1.96016666666667	1.37592493522448e-05	-1.58575	2.26283526554466e-05	-0.354333333333333	0.0368380837121917	-0.448333333333333	0.0398323851547082	0.152	0.547595476620052	CAGL0B01881g		CAL0127664	Ortholog(s) have tRNA (guanine-N2-)-methyltransferase activity, role in tRNA N2-guanine methylation, tRNA methylation and mitochondrion, nuclear envelope, nuclear inner membrane localization	TRM1	-2.34674860716869	-2.15767845516916	-1.04307822064384	-0.892874679264602	0.534086502576415	-1	-1	0	0	METABOLISM	NUCLEIC ACID METABOLISM	F1	-1	-1	0	0	-2	chartreuse	DOWN	0	black	NO	OFF
42	CAGL0B02475g	CAGL0B02475g	-1.898	5.06058338114343e-05	-1.18658333333333	0.00680584312802034	1.22983333333333	0.000485907937038307	5.1165	6.65435270826173e-07	1.10583333333333	0.0234351617702557	CAGL0B02475g	PHO84	CAL0127774	Ortholog(s) have inorganic phosphate transmembrane transporter activity, manganese ion transmembrane transporter activity, selenite:proton symporter activity	PHO84	-2.2741222740012	-1.63299789789517	2.87128814210496	8.84219259248576	3.19559116576223	-1	0	1	1	REGULATION	OTHERS	F2	-1	-1	1	1	-2	chartreuse	DOWN	2	red	UP	Type I
43	CAGL0B02585g	CAGL0B02585g	-0.4775	0.00632179303376859	-1.56266666666667	0.00120645712225761	-0.103	0.428619060536763	0.462666666666667	0.208958252286277	-0.373833333333334	0.36851843341082	CAGL0B02585g		CAL0127662	Ortholog(s) have role in ER-dependent peroxisome organization, endoplasmic reticulum inheritance, endoplasmic reticulum tubular network maintenance and endoplasmic reticulum tubular network organization, more	RTN1	-0.614620296557396	-2.12733680290091	-0.422050921851077	0.700820181539479	-0.933159209873568	0	-1	0	0	STRESS RESPONSE	_	Others	0	-1	0	0	-1	darkgreen	DOWN	0	black	NO	OFF
44	CAGL0B02717g	CAGL0B02717g	-0.358333333333333	0.0457563790864687	-0.866166666666667	0.00125154097112318	-0.570666666666667	0.00192025577284149	-1.68266666666667	0.00018449808597954	-0.104166666666667	0.636027556295029	CAGL0B02717g		CAL0127800	Ortholog(s) have role in acetate catabolic process, carbon utilization and cytoplasm, extracellular region, nucleus localization		-0.475403598930701	-1.21182947561574	-1.57762293803973	-3.05220584265923	-0.180701662252626	0	0	0	-1	IRON-SULFUR CLUSTER SYNTHESIS AND ASSEMBLY	_	F5	0	0	-1	-1	0	black	NO	-2	chartreuse	DOWN	OFF
45	CAGL0B02794g	CAGL0B02794g	-0.817333333333334	0.0101552175441107	-0.00833333333333339	0.972465903195205	1.9235	0.000100659077795937	0.378166666666667	0.144893422169072	-0.8135	0.0296922787396122	CAGL0B02794g		CAL0127856	Ortholog(s) have (S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity, N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity	ADE13	-1.01163127062849	-0.0842591924052111	4.58529054102769	0.552996673594424	-2.15997194820734	0	0	1	0	METABOLISM	NUCLEIC ACID METABOLISM	F1	0	0	1	0	0	black	NO	1	firebrick	UP	OFF
46	CAGL0B02838g	CAGL0B02838g	2.1485	3.50125506504874e-05	1.76775	0.000132047449151204	0.628083333333334	0.0103186020167052	1.00816666666667	0.0151190646859363	-0.868833333333334	0.0132249896396065	CAGL0B02838g	MUP1	CAL0127890	Protein of unknown function		2.45320947659814	2.25029544583706	1.38440547480307	1.6551127683327	-2.31436991224328	1	1	0	0	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	1	1	0	0	2	red	UP	0	black	NO	OFF
