C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C37	C38	C39	C40	C41	C42
CAGL0A01826g	HXT5	Ortholog(s) have glucose transmembrane transporter activity, role in glucose transmembrane transport and plasma membrane localization	1.948	1.691e-05	2.751	9.796e-07	0.394	7.096e-02	0.272	2.014e-01	2.219	3.543	0.807	0.366	1	1	0	0	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0A01826g	OFF	UP	UP	0	0	CAGL0A01826g	YDR345C	S000002753	YDR345C	HXT3	Low affinity glucose transporter of the major facilitator superfamily; expression is induced in low or high glucose conditions; HXT3 has a paralog, HXT5, that arose from the whole genome duplication	1.683	1.800e-02	-0.26	7.065e-01	-0.503	9.999e-01	1.37	3.281e-01
CAGL0A02002g		Ortholog of S. cerevisiae : YOL024W and Saccharomyces cerevisiae S288C : YOL024W	3.182	1.129e-04	1.65	1.282e-03	-0.354	1.704e-01	-0.734	5.942e-02	3.66	2.096	-1.043	-1.392	1	1	0	0	METABOLISM	ENERGY PRODUCTION (NON RESPIRATORY)	F1	CAGL0A02002g	OFF	UP	UP	0	0	CAGL0A02002g	YOL024W	S000005384	YOL024W		Putative protein of unknown function; predicted to have thiol-disulfide oxidoreductase active site; YOL024W has a paralog, IGD1, that arose from the whole genome duplication	3.947	4.050e-06	0.696	4.227e-02	-0.099	9.999e-01	-0.645	3.410e-01
CAGL0A02112g		Ortholog(s) have asparagine-tRNA ligase activity and role in asparaginyl-tRNA aminoacylation	-1.674	4.441e-05	-1.366	2.282e-04	-0.308	1.801e-02	-0.558	2.690e-02	-2.013	-1.869	-0.929	-1.085	-1	0	0	0	METABOLISM	PROTEIN SYNTHESIS	F1	CAGL0A02112g	OFF	DOWN	DOWN	0	0	CAGL0A02112g	YHR019C	S000001061	YHR019C	DED81	Cytosolic asparaginyl-tRNA synthetase; required for protein synthesis, catalyzes the specific attachment of asparagine to its cognate tRNA	-0.264	2.210e-01	0.404	2.412e-02	0.03	9.999e-01	-0.463	2.001e-01
CAGL0A02145g		Ortholog(s) have actin filament binding activity, role in actin cortical patch localization, actin cytoskeleton organization, actin filament bundle assembly, actin filament organization, endocytosis and actin cortical patch localization	1.178	4.825e-05	1.045	1.462e-03	1.028	9.577e-05	-0.375	9.721e-02	1.32	1.3	2.373	-0.765	0	0	1	0	REGULATION	OTHERS	F2	CAGL0A02145g	OFF	0	0	UP	0	CAGL0A02145g	YHR016C	S000001058	YHR016C	YSC84	Actin-binding protein; involved in bundling of actin filaments and endocytosis of actin cortical patches; activity stimulated by Las17p; contains SH3 domain similar to Rvs167p; YSC84 has a paralog, LSB3, that arose from the whole genome duplication	2.064	7.280e-05	1.373	3.206e-03	-0.218	9.999e-01	1.17	8.987e-02
CAGL0A02211g	HXT6/7	Ortholog(s) have glucose transmembrane transporter activity, pentose transmembrane transporter activity, role in glucose transmembrane transport and plasma membrane localization	2.03	1.541e-03	1.405	7.802e-04	-0.03	8.718e-01	0.743	3.059e-02	2.315	1.774	-0.241	1.191	1	0	0	0	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0A02211g	OFF	UP	UP	0	0	CAGL0A02211g	YDR342C	S000002750	YDR342C	HXT7	High-affinity glucose transporter; member of the major facilitator superfamily, nearly identical to Hxt6p, expressed at high basal levels relative to other HXTs, expression repressed by high glucose levels; HXT7 has a paralog, HXT4, that arose from the whole genome duplication	-0.386	1.860e-01	0.032	9.155e-01	0.204	9.999e-01	0.072	8.946e-01
CAGL0A02233g	HXT4/6/7	Ortholog(s) have glucose transmembrane transporter activity and membrane, plasma membrane localization	2.278	6.916e-04	1.512	3.526e-04	0.003	9.885e-01	0.74	1.862e-02	2.604	1.914	-0.16	1.185	1	0	0	0	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0A02233g	OFF	UP	UP	0	0	CAGL0A02233g	YDR343C	S000002751	YDR343C	HXT6	High-affinity glucose transporter; member of the major facilitator superfamily, nearly identical to Hxt7p, expressed at high basal levels relative to other HXTs, repression of expression by high glucose requires SNF3; HXT6 has a paralog, HXT1, that arose from the whole genome duplication	-0.516	1.540e-01	-0.199	3.631e-01	0.09	9.999e-01	0.02	9.708e-01
CAGL0A02277g		Protein of unknown function	-0.2	4.915e-01	3.609	4.039e-07	2.052	5.868e-06	-0.848	8.055e-03	-0.291	4.67	4.902	-1.592	0	1	1	0	UNCLASSIFIED	_	Others	CAGL0A02277g	SWITCH	0	UP	UP	DOWN	CAGL0A02277g	YCL049C	S000000554	YCL049C		Protein of unknown function; localizes to membrane fraction; YCL049C is not an essential gene	-0.016	9.300e-01	0.456	3.475e-02	-0.05	9.999e-01	0.255	5.119e-01
CAGL0A02299g		Protein of unknown function	1.807	6.851e-05	2.027	1.292e-05	-0.255	1.818e-01	1.092	6.368e-04	2.055	2.591	-0.797	1.802	1	1	0	0	UNCLASSIFIED	_	Others	CAGL0A02299g	Type II	UP	UP	0	UP	CAGL0A02299g	NO_ORTHO	CAL0126895	CAGL0A02299g		Protein of unknown function	2.818	1.340e-05	-1.274	4.638e-03	0.145	9.999e-01	-0.701	1.522e-01
CAGL0A02816g		Putative 2-methylbutyraldehyde reductase; gene is upregulated in azole-resistant strain	1.513	3.528e-05	1.336	2.580e-04	-0.57	5.505e-03	-1.303	3.853e-04	1.71	1.683	-1.576	-2.387	0	0	0	-1	REDOX SIGNALING	NAD(P)/NAD(P)H DEPENDANT ENZYME	F3	CAGL0A02816g	Type I	UP	UP	DOWN	DOWN	CAGL0A02816g	YDR368W	S000002776	YDR368W	YPR1	NADPH-dependent aldo-keto reductase; reduces multiple substrates including 2-methylbutyraldehyde and D,L-glyceraldehyde, expression is induced by osmotic and oxidative stress; functionally redundant with other aldo-keto reductases; protein abundance increases in response to DNA replication stress; YPR1 has a paralog, GCY1, that arose from the whole genome duplication; human homolog AKR1B1 can complement yeast null mutant	1.556	3.520e-05	-1.352	5.847e-04	0.155	9.999e-01	-0.283	4.483e-01
CAGL0A03102g	ARO10	Ortholog(s) have carboxy-lyase activity, phenylpyruvate decarboxylase activity	2.128	8.828e-06	0.391	1.379e-01	0.315	5.654e-02	-0.784	8.072e-03	2.43	0.44	0.61	-1.479	1	0	0	0	IRON-SULFUR CLUSTER SYNTHESIS AND ASSEMBLY	_	F5	CAGL0A03102g	OFF	UP	0	0	0	CAGL0A03102g	YDR380W	S000002788	YDR380W	ARO10	Phenylpyruvate decarboxylase; catalyzes decarboxylation of phenylpyruvate to phenylacetaldehyde, which is the first specific step in the Ehrlich pathway; involved in protein N-terminal Met and Ala catabolism	-1.338	5.770e-04	2.611	8.230e-06	-0.006	9.999e-01	1.312	1.435e-01
CAGL0A03366g		Ortholog(s) have IMP cyclohydrolase activity, phosphoribosylaminoimidazolecarboxamide formyltransferase activity and role in 'de novo' IMP biosynthetic process, IMP biosynthetic process, purine nucleotide biosynthetic process	0.107	4.725e-01	-0.204	3.644e-01	1.356	3.474e-05	-0.3	1.941e-01	0.069	-0.341	3.183	-0.633	0	0	1	0	REDOX SIGNALING	METABOLISM	F3	CAGL0A03366g	OFF	0	0	UP	0	CAGL0A03366g	YLR028C	S000004018	YLR028C	ADE16	Enzyme of 'de novo' purine biosynthesis; contains both 5-aminoimidazole-4-carboxamide ribonucleotide transformylase and inosine monophosphate cyclohydrolase activities; ADE16 has a paralog, ADE17, that arose from the whole genome duplication; ade16 ade17 mutants require adenine and histidine	-0.47	2.200e-02	-0.202	2.903e-01	-0.015	9.999e-01	-0.295	4.132e-01
CAGL0A03476g	SMF3	Ortholog(s) have role in cellular iron ion homeostasis, iron ion transport and fungal-type vacuole membrane, plasma membrane localization	1.167	7.523e-04	1.615	4.422e-05	-0.274	4.198e-02	0.254	3.239e-01	1.306	2.049	-0.845	0.336	0	1	0	0	TRANSPORT / TRAFFICKING	VACUOLAR MEMBRANE	F4	CAGL0A03476g	OFF	0	UP	0	0	CAGL0A03476g	YLR034C	S000004024	YLR034C	SMF3	Putative divalent metal ion transporter involved in iron homeostasis; transcriptionally regulated by metal ions; member of the Nramp family of metal transport proteins; protein abundance increases in response to DNA replication stress	1.604	1.210e-04	1.36	9.060e-04	-0.117	9.999e-01	-0.392	6.162e-01
CAGL0A03542g	COX12	Cytochrome c oxidase	-1.958	1.382e-04	-1.736	1.480e-04	0.294	4.719e-02	1.012	2.746e-03	-2.344	-2.356	0.558	1.663	-1	-1	0	0	REDOX SIGNALING	RESPIRATORY CHAIN	F3	CAGL0A03542g	Type I	DOWN	DOWN	0	UP	CAGL0A03542g	YLR038C	S000004028	YLR038C	COX12	Subunit VIb of cytochrome c oxidase; cytochrome c oxidase is also known as respiratory Complex IV and is the terminal member of the mitochondrial inner membrane electron transport chain; required for assembly of cytochrome c oxidase but not required for activity after assembly; phosphorylated; easily released from the intermembrane space, suggesting a loose association with Complex IV	-2.038	1.540e-04	2.474	5.184e-05	-0.123	9.999e-01	0.219	6.689e-01
CAGL0A03740g		Ortholog(s) have role in fatty acid beta-oxidation, long-chain fatty acid catabolic process and peroxisome localization	1.589	1.176e-04	0.316	1.655e-01	2.899	1.108e-06	2.751	1.899e-06	1.8	0.342	6.996	4.704	0	0	1	1	REDOX SIGNALING	PEROXISOME	F3	CAGL0A03740g	Type II	UP	0	UP	UP	CAGL0A03740g	YGL205W	S000003173	YGL205W	POX1	Fatty-acyl coenzyme A oxidase; involved in the fatty acid beta-oxidation pathway; localized to the peroxisomal matrix	1.946	3.540e-05	1.61	3.159e-04	-0.004	9.999e-01	0.473	3.436e-01
CAGL0A03905g	HMX1	Ortholog(s) have heme oxygenase (decyclizing) activity and role in cellular iron ion homeostasis, heme catabolic process, response to carbon monoxide, response to oxidative stress	2.561	1.083e-06	1.211	2.773e-04	-1.167	2.221e-04	-1.092	1.487e-03	2.936	1.518	-3.052	-2.019	1	0	-1	-1	REDOX SIGNALING	OXYGEN DEPENDENT ENZYME	F3	CAGL0A03905g	Type I	UP	UP	DOWN	DOWN	CAGL0A03905g	YLR205C	S000004195	YLR205C	HMX1	ER localized heme oxygenase; involved in heme degradation during iron starvation and in the oxidative stress response; expression is regulated by AFT1 and oxidative stress; relocates to the perinuclear region in the presence of oxidants	2.361	2.530e-04	-2.176	1.228e-03	-0.24	9.999e-01	0.519	5.759e-01
CAGL0A04015g		Ortholog(s) have role in rRNA processing and box C/D snoRNP complex, nucleolus, small-subunit processome localization	-1.69	1.169e-04	-1.13	4.335e-03	-0.163	2.751e-01	-0.124	6.475e-01	-2.031	-1.559	-0.571	-0.325	-1	0	0	0	METABOLISM	RIBOSOMAL BIOGENESIS	F1	CAGL0A04015g	OFF	DOWN	DOWN	0	0	CAGL0A04015g	YLR197W	S000004187	YLR197W	NOP56	Essential evolutionarily-conserved nucleolar protein; component of the box C/D snoRNP complexes that direct 2'-O-methylation of pre-rRNA during its maturation; overexpression causes spindle orientation defects	-1.465	1.420e-04	-0.015	9.500e-01	-0.247	9.999e-01	0.012	9.751e-01
CAGL0A04499g		Ortholog(s) have electron transfer activity, iron ion binding, zinc ion binding activity, role in peptidyl-diphthamide biosynthetic process from peptidyl-histidine, tRNA wobble uridine modification and cytoplasm, nucleus localization	1.379	9.444e-05	0.696	6.549e-02	-0.533	1.292e-02	-1.631	6.368e-04	1.554	0.842	-1.484	-2.962	0	0	0	-1	REGULATION	TRANSLATION	F2	CAGL0A04499g	Type I	UP	0	0	DOWN	CAGL0A04499g	YBL071W-A	S000007587	YBL071W-A	KTI11	Zn-ribbon protein that co-purifies with Dph1 and Dph2; in a complex required for synthesis of diphthamide on translation factor eEF2 and with Elongator subunits Iki3p, Elp2p, and Elp3p; involved in modification of wobble nucleosides in tRNAs; forms a stable heterodimer with Ats1p	-1.387	5.700e-05	1.898	5.184e-05	0.063	9.999e-01	0.106	8.597e-01
CAGL0A04653g		Ortholog(s) have glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity, role in glutaminyl-tRNAGln biosynthesis via transamidation, mitochondrial translation and glutamyl-tRNA(Gln) amidotransferase complex, mitochondrion localization	-0.102	3.601e-01	0.133	5.615e-01	0.36	9.524e-03	1.687	2.140e-04	-0.176	0.102	0.722	2.842	0	0	0	1	METABOLISM	MITOCHONDRIAL BIOGENESIS	F1	CAGL0A04653g	OFF	0	0	0	UP	CAGL0A04653g	YBL080C	S000000176	YBL080C	PET112	Subunit of the trimeric GatFAB AmidoTransferase(AdT) complex; involved in the formation of Q-tRNAQ; mutation is functionally complemented by the bacterial GatB ortholog	-0.591	1.050e-02	0.17	4.609e-01	0.055	9.999e-01	-0.116	7.490e-01
CAGL0A04829g		Putative hexokinase isoenzyme 2; protein differentially expressed in azole resistant strain	1.921	4.231e-03	0.951	1.978e-03	-0.111	6.795e-01	1.217	4.538e-04	2.188	1.176	-0.441	2.02	1	0	0	1	METABOLISM	ENERGY PRODUCTION (NON RESPIRATORY)	F1	CAGL0A04829g	Type II	UP	0	0	UP	CAGL0A04829g	YFR053C	S000001949	YFR053C	HXK1	Hexokinase isoenzyme 1; a cytosolic protein that catalyzes phosphorylation of glucose during glucose metabolism; expression is highest during growth on non-glucose carbon sources; glucose-induced repression involves hexokinase Hxk2p; HXK1 has a paralog, HXK2, that arose from the whole genome duplication	0.105	6.210e-01	-0.496	3.414e-02	0.327	9.999e-01	-0.527	1.522e-01
CAGL0B00286g		Ortholog(s) have L-serine ammonia-lyase activity, L-threonine ammonia-lyase activity, role in L-serine catabolic process, threonine catabolic process and mitochondrial nucleoid localization	-0.641	4.576e-02	-1.502	2.427e-05	0.001	9.929e-01	-0.416	7.425e-02	-0.806	-2.048	-0.164	-0.836	0	-1	0	0	METABOLISM	AMINO ACID METABOLISM	F1	CAGL0B00286g	OFF	0	DOWN	0	0	CAGL0B00286g	YCL064C	S000000569	YCL064C	CHA1	Catabolic L-serine (L-threonine) deaminase; catalyzes the degradation of both L-serine and L-threonine; required to use serine or threonine as the sole nitrogen source, transcriptionally induced by serine and threonine	0.491	9.150e-03	0.427	1.163e-01	-0.138	9.999e-01	0.487	2.087e-01
CAGL0B00594g		Predicted GPI-linked protein	-1.345	1.287e-04	-2.045	1.260e-05	-0.644	2.298e-03	-0.296	2.889e-01	-1.628	-2.762	-1.759	-0.626	0	-1	0	0	UNCLASSIFIED	_	Others	CAGL0B00594g	Type II	DOWN	DOWN	DOWN	0	CAGL0B00594g	YCL048W-A	S000087203	YCL048W-A		Putative protein of unknown function; SWAT-GFP and mCherry fusion proteins localize to the cell periphery and vacuole; YCL048W-A has a paralog, YDR524C-B, that arose from the whole genome duplication	0.793	6.040e-03	0.155	5.999e-01	0.119	9.999e-01	0.089	8.948e-01
CAGL0B00792g		Ortholog(s) have RNA binding activity, role in regulation of translation and cytoplasmic stress granule, polysome localization	-1.397	3.676e-04	-1.393	9.917e-05	0.134	5.140e-01	-1.095	1.362e-03	-1.689	-1.904	0.165	-2.024	0	0	0	-1	METABOLISM	RIBOSOMAL BIOGENESIS	F1	CAGL0B00792g	Type II	DOWN	DOWN	0	DOWN	CAGL0B00792g	YCL037C	S000000542	YCL037C	SRO9	Cytoplasmic RNA-binding protein; shuttles between nucleus and cytoplasm and is exported from the nucleus in an mRNA export-dependent manner; associates with translating ribosomes; involved in heme regulation of Hap1p as a component of the HMC complex, also involved in the organization of actin filaments; contains a La motif; SRO9 has a paralog, SLF1, that arose from the whole genome duplication	-1.363	1.530e-04	-0.418	2.362e-01	-0.054	9.999e-01	-0.44	3.520e-01
CAGL0B00814g		Ortholog(s) have role in actin cortical patch localization, actin cytoskeleton organization, actin filament organization, endocytosis and actin cortical patch, cell cortex, cytoplasm localization	1.95	2.266e-05	1.298	2.041e-04	0.078	6.095e-01	0.333	1.285e-01	2.221	1.633	0.024	0.474	1	0	0	0	TRANSPORT / TRAFFICKING	INTRACELLULAR TRANSPORT	F4	CAGL0B00814g	OFF	UP	UP	0	0	CAGL0B00814g	YCL034W	S000000539	YCL034W	LSB5	Protein involved in membrane-trafficking events at plasma membrane; interacts with actin regulators Sla1p and Las17p, ubiquitin, Arf3p to couple actin dynamics to membrane trafficking processes; similar structure to GGA family of proteins with N-terminal VHS domain and GAT domain; binds Las17p, which is homolog of human Wiskott-Aldrich Syndrome protein involved in actin patch assembly, actin polymerization; may mediate disassembly of Pan1 complex from endocytic coat	1.907	1.160e-05	-0.494	6.999e-02	0.11	9.999e-01	-0.066	8.723e-01
CAGL0B00946g		Ortholog(s) have cytosol localization	1.258	3.994e-05	2.252	6.999e-06	0.026	8.573e-01	0.108	6.122e-01	1.412	2.887	-0.104	0.08	0	1	0	0	UNCLASSIFIED	_	Others	CAGL0B00946g	OFF	0	UP	0	0	CAGL0B00946g	YCL028W	S000000533	YCL028W	RNQ1	[PIN(+)] prion; an infectious protein conformation that is generally an ordered protein aggregate	3.028	6.800e-06	-0.541	4.466e-02	-0.145	9.999e-01	-0.571	2.581e-01
CAGL0B00990g	HBN1	Ortholog(s) have oxidoreductase activity, acting on NAD(P)H, nitrogenous group as acceptor activity and role in cellular response to oxidative stress, negative regulation of fatty acid metabolic process	3.69	1.154e-05	2.861	6.644e-06	0.439	1.378e-01	1.043	4.026e-02	4.254	3.687	0.916	1.716	1	1	0	0	REDOX SIGNALING	FLAVO HEMO PROTEIN	F3	CAGL0B00990g	OFF	UP	UP	0	0	CAGL0B00990g	YCL026C-A	S000000589	YCL026C-A	FRM2	Type II nitroreductase, using NADH as reductant; mutants are defective in fatty acid mediated repression of genes involved in fatty acid biosynthesis indicative of a role in lipid signaling; involved in the oxidative stress response; transcription induction by cadmium and selenite indicates a possible role in the metal stress response; expression induced in cells treated with the mycotoxin patulin	2.715	1.260e-05	-0.035	8.817e-01	-0.123	9.999e-01	0.172	7.540e-01
CAGL0B01012g		Ortholog(s) have L-proline transmembrane transporter activity, amino acid transmembrane transporter activity, role in amino acid transport, transmembrane transport and plasma membrane localization	0.816	5.588e-02	0.679	1.122e-01	-1.707	2.474e-03	-0.244	5.910e-01	0.897	0.819	-4.386	-0.535	0	0	-1	0	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0B01012g	OFF	0	0	DOWN	0	CAGL0B01012g	YCL025C	S000000530	YCL025C	AGP1	Low-affinity amino acid permease with broad substrate range; involved in uptake of asparagine, glutamine, and other amino acids; expression regulated by SPS plasma membrane amino acid sensor system (Ssy1p-Ptr3p-Ssy5p); AGP1 has a paralog, GNP1, that arose from the whole genome duplication	-0.507	1.730e-01	0.01	9.794e-01	-0.394	9.999e-01	-0.173	9.075e-01
CAGL0B01122g	SAM1	S-adenosylmethionine synthetase	-1.319	9.273e-05	-1.081	8.275e-04	-0.37	1.782e-02	-1.225	4.542e-04	-1.598	-1.494	-1.083	-2.251	0	0	0	-1	IRON-SULFUR CLUSTER SYNTHESIS AND ASSEMBLY	_	F5	CAGL0B01122g	Type II	DOWN	0	0	DOWN	CAGL0B01122g	YLR180W	S000004170	YLR180W	SAM1	S-adenosylmethionine synthetase; catalyzes transfer of the adenosyl group of ATP to the sulfur atom of methionine; SAM1 has a paralog, SAM2, that arose from the whole genome duplication	-1.021	5.210e-03	-0.233	3.939e-01	-0.04	9.999e-01	0.287	6.331e-01
CAGL0B01507g	ARG8	Ortholog(s) have N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity, role in arginine biosynthetic process, arginine biosynthetic process via ornithine, ornithine biosynthetic process and mitochondrial matrix localization	-2.71	9.368e-05	-1.628	1.746e-05	0.49	1.619e-01	0.208	3.675e-01	-3.223	-2.214	1.042	0.255	-1	-1	0	0	METABOLISM	AMINO ACID METABOLISM	F1	CAGL0B01507g	OFF	DOWN	DOWN	0	0	CAGL0B01507g	YOL140W	S000005500	YOL140W	ARG8	Acetylornithine aminotransferase; catalyzes the fourth step in the biosynthesis of the arginine precursor ornithine	-1.64	1.880e-04	-0.365	1.396e-01	-0.082	9.999e-01	-0.012	9.843e-01
CAGL0B01639g		Ortholog(s) have guanyl-nucleotide exchange factor activity and role in retrograde transport, endosome to Golgi	0.001	9.952e-01	0.052	8.456e-01	0.419	2.429e-02	1.294	1.103e-03	-0.055	-0.006	0.867	2.155	0	0	0	1	TRANSPORT / TRAFFICKING	ER/GOLGI TRANSPORT SYSTEM	F4	CAGL0B01639g	OFF	0	0	0	UP	CAGL0B01639g	YDR137W	S000002544	YDR137W	RGP1	Subunit of a Golgi membrane exchange factor (Ric1p-Rgp1p); this complex catalyzes nucleotide exchange on Ypt6p	0.91	1.470e-03	-0.177	4.360e-01	0.051	9.999e-01	-0.108	7.744e-01
