C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29
CAGL0A01826g	HXT5	Ortholog(s) have glucose transmembrane transporter activity, role in glucose transmembrane transport and plasma membrane localization	1.948	1.691e-05	2.751	9.796e-07	0.395	7.096e-02	0.272	2.014e-01	2.219	3.543	0.807	0.366	1	1	0	0	HXT3	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0A01826g	OFF	UP	UP	0	0
CAGL0A02002g		Ortholog of S. cerevisiae : YOL024W and Saccharomyces cerevisiae S288C : YOL024W	3.182	1.129e-04	1.65	1.282e-03	-0.354	1.704e-01	-0.734	5.942e-02	3.66	2.096	-1.043	-1.392	1	1	0	0	YOL024W	METABOLISM	ENERGY PRODUCTION (NON RESPIRATORY)	F1	CAGL0A02002g	OFF	UP	UP	0	0
CAGL0A02112g		Ortholog(s) have asparagine-tRNA ligase activity and role in asparaginyl-tRNA aminoacylation	-1.674	4.441e-05	-1.366	2.282e-04	-0.308	1.801e-02	-0.558	2.690e-02	-2.013	-1.869	-0.929	-1.085	-1	0	0	0	DED81	METABOLISM	PROTEIN SYNTHESIS	F1	CAGL0A02112g	OFF	DOWN	DOWN	0	0
CAGL0A02145g		Ortholog(s) have actin filament binding activity, role in actin cortical patch localization, actin cytoskeleton organization, actin filament bundle assembly, actin filament organization, endocytosis and actin cortical patch localization	1.178	4.825e-05	1.045	1.462e-03	1.028	9.577e-05	-0.375	9.721e-02	1.32	1.3	2.373	-0.765	0	0	1	0	YSC84	REGULATION	OTHERS	F2	CAGL0A02145g	OFF	0	0	UP	0
CAGL0A02211g	HXT6/7	Ortholog(s) have glucose transmembrane transporter activity, pentose transmembrane transporter activity, role in glucose transmembrane transport and plasma membrane localization	2.03	1.541e-03	1.405	7.802e-04	-0.03	8.718e-01	0.743	3.059e-02	2.315	1.774	-0.241	1.191	1	0	0	0	HXT7	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0A02211g	OFF	UP	UP	0	0
CAGL0A02233g	HXT4/6/7	Ortholog(s) have glucose transmembrane transporter activity and membrane, plasma membrane localization	2.278	6.916e-04	1.512	3.526e-04	0.003	9.885e-01	0.74	1.862e-02	2.604	1.914	-0.16	1.185	1	0	0	0	HXT6	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0A02233g	OFF	UP	UP	0	0
CAGL0A02277g		Protein of unknown function	-0.2	4.915e-01	3.609	4.039e-07	2.052	5.868e-06	-0.848	8.055e-03	-0.291	4.67	4.902	-1.592	0	1	1	0		UNCLASSIFIED	_	Others	CAGL0A02277g	SWITCH	0	UP	UP	DOWN
CAGL0A02299g		Protein of unknown function	1.807	6.851e-05	2.027	1.292e-05	-0.255	1.818e-01	1.092	6.368e-04	2.055	2.591	-0.797	1.802	1	1	0	0		UNCLASSIFIED	_	Others	CAGL0A02299g	Type II	UP	UP	0	UP
CAGL0A02816g		Putative 2-methylbutyraldehyde reductase; gene is upregulated in azole-resistant strain	1.513	3.528e-05	1.336	2.580e-04	-0.57	5.505e-03	-1.303	3.853e-04	1.71	1.683	-1.576	-2.387	0	0	0	-1	YPR1	REDOX SIGNALING	NAD(P)/NAD(P)H DEPENDANT ENZYME	F3	CAGL0A02816g	Type I	UP	UP	DOWN	DOWN
CAGL0A03102g	ARO10	Ortholog(s) have carboxy-lyase activity, phenylpyruvate decarboxylase activity	2.128	8.828e-06	0.391	1.379e-01	0.315	5.654e-02	-0.784	8.072e-03	2.43	0.44	0.61	-1.479	1	0	0	0	ARO10	IRON-SULFUR CLUSTER SYNTHESIS AND ASSEMBLY	_	F5	CAGL0A03102g	OFF	UP	0	0	0
CAGL0A03366g		Ortholog(s) have IMP cyclohydrolase activity, phosphoribosylaminoimidazolecarboxamide formyltransferase activity and role in 'de novo' IMP biosynthetic process, IMP biosynthetic process, purine nucleotide biosynthetic process	0.107	4.725e-01	-0.204	3.644e-01	1.356	3.474e-05	-0.3	1.941e-01	0.069	-0.341	3.183	-0.633	0	0	1	0	ADE16	REDOX SIGNALING	METABOLISM	F3	CAGL0A03366g	OFF	0	0	UP	0
CAGL0A03476g	SMF3	Ortholog(s) have role in cellular iron ion homeostasis, iron ion transport and fungal-type vacuole membrane, plasma membrane localization	1.167	7.523e-04	1.615	4.422e-05	-0.274	4.198e-02	0.254	3.239e-01	1.306	2.049	-0.845	0.336	0	1	0	0	SMF3	TRANSPORT / TRAFFICKING	VACUOLAR MEMBRANE	F4	CAGL0A03476g	OFF	0	UP	0	0
CAGL0A03542g	COX12	Cytochrome c oxidase	-1.958	1.382e-04	-1.736	1.480e-04	0.294	4.719e-02	1.013	2.746e-03	-2.344	-2.356	0.558	1.663	-1	-1	0	0	COX12	REDOX SIGNALING	RESPIRATORY CHAIN	F3	CAGL0A03542g	Type I	DOWN	DOWN	0	UP
CAGL0A03740g		Ortholog(s) have role in fatty acid beta-oxidation, long-chain fatty acid catabolic process and peroxisome localization	1.59	1.176e-04	0.316	1.655e-01	2.899	1.108e-06	2.751	1.899e-06	1.8	0.342	6.996	4.704	0	0	1	1		REDOX SIGNALING	PEROXISOME	F3	CAGL0A03740g	Type II	UP	0	UP	UP
CAGL0A03905g	HMX1	Ortholog(s) have heme oxygenase (decyclizing) activity and role in cellular iron ion homeostasis, heme catabolic process, response to carbon monoxide, response to oxidative stress	2.561	1.083e-06	1.211	2.773e-04	-1.167	2.221e-04	-1.092	1.487e-03	2.936	1.518	-3.052	-2.019	1	0	-1	-1	HMX1	REDOX SIGNALING	OXYGEN DEPENDENT ENZYME	F3	CAGL0A03905g	Type I	UP	UP	DOWN	DOWN
CAGL0A04015g		Ortholog(s) have role in rRNA processing and box C/D snoRNP complex, nucleolus, small-subunit processome localization	-1.69	1.169e-04	-1.13	4.335e-03	-0.163	2.751e-01	-0.124	6.475e-01	-2.031	-1.559	-0.571	-0.325	-1	0	0	0	NOP56	METABOLISM	RIBOSOMAL BIOGENESIS	F1	CAGL0A04015g	OFF	DOWN	DOWN	0	0
CAGL0A04499g		Ortholog(s) have electron transfer activity, iron ion binding, zinc ion binding activity, role in peptidyl-diphthamide biosynthetic process from peptidyl-histidine, tRNA wobble uridine modification and cytoplasm, nucleus localization	1.379	9.444e-05	0.696	6.549e-02	-0.533	1.292e-02	-1.631	6.368e-04	1.554	0.842	-1.484	-2.962	0	0	0	-1	KTI11	REGULATION	TRANSLATION	F2	CAGL0A04499g	Type I	UP	0	0	DOWN
CAGL0A04653g		Ortholog(s) have glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity, role in glutaminyl-tRNAGln biosynthesis via transamidation, mitochondrial translation and glutamyl-tRNA(Gln) amidotransferase complex, mitochondrion localization	-0.102	3.601e-01	0.133	5.615e-01	0.36	9.524e-03	1.687	2.140e-04	-0.176	0.102	0.722	2.842	0	0	0	1	PET112	METABOLISM	MITOCHONDRIAL BIOGENESIS	F1	CAGL0A04653g	OFF	0	0	0	UP
CAGL0A04829g		Putative hexokinase isoenzyme 2; protein differentially expressed in azole resistant strain	1.921	4.231e-03	0.951	1.978e-03	-0.111	6.795e-01	1.217	4.538e-04	2.188	1.176	-0.441	2.02	1	0	0	1	HXK1	METABOLISM	ENERGY PRODUCTION (NON RESPIRATORY)	F1	CAGL0A04829g	Type II	UP	0	0	UP
CAGL0B00286g		Ortholog(s) have L-serine ammonia-lyase activity, L-threonine ammonia-lyase activity, role in L-serine catabolic process, threonine catabolic process and mitochondrial nucleoid localization	-0.641	4.576e-02	-1.502	2.427e-05	0.001	9.929e-01	-0.416	7.425e-02	-0.806	-2.048	-0.164	-0.836	0	-1	0	0	CHA1	METABOLISM	AMINO ACID METABOLISM	F1	CAGL0B00286g	OFF	0	DOWN	0	0
CAGL0B00594g		Predicted GPI-linked protein	-1.345	1.287e-04	-2.045	1.260e-05	-0.644	2.298e-03	-0.296	2.889e-01	-1.628	-2.762	-1.759	-0.626	0	-1	0	0	YCL048W-A	UNCLASSIFIED	_	Others	CAGL0B00594g	Type II	DOWN	DOWN	DOWN	0
CAGL0B00792g		Ortholog(s) have RNA binding activity, role in regulation of translation and cytoplasmic stress granule, polysome localization	-1.398	3.676e-04	-1.393	9.917e-05	0.135	5.140e-01	-1.095	1.362e-03	-1.689	-1.904	0.165	-2.024	0	0	0	-1	SRO9	METABOLISM	RIBOSOMAL BIOGENESIS	F1	CAGL0B00792g	Type II	DOWN	DOWN	0	DOWN
CAGL0B00814g		Ortholog(s) have role in actin cortical patch localization, actin cytoskeleton organization, actin filament organization, endocytosis and actin cortical patch, cell cortex, cytoplasm localization	1.95	2.266e-05	1.298	2.041e-04	0.078	6.095e-01	0.333	1.285e-01	2.221	1.633	0.024	0.474	1	0	0	0	LSB5	TRANSPORT / TRAFFICKING	INTRACELLULAR TRANSPORT	F4	CAGL0B00814g	OFF	UP	UP	0	0
CAGL0B00946g		Ortholog(s) have cytosol localization	1.258	3.994e-05	2.252	6.999e-06	0.026	8.573e-01	0.108	6.122e-01	1.412	2.887	-0.104	0.08	0	1	0	0	RNQ1	UNCLASSIFIED	_	Others	CAGL0B00946g	OFF	0	UP	0	0
CAGL0B00990g	HBN1	Ortholog(s) have oxidoreductase activity, acting on NAD(P)H, nitrogenous group as acceptor activity and role in cellular response to oxidative stress, negative regulation of fatty acid metabolic process	3.69	1.154e-05	2.861	6.644e-06	0.439	1.378e-01	1.043	4.026e-02	4.254	3.687	0.916	1.716	1	1	0	0	FRM2	REDOX SIGNALING	FLAVO HEMO PROTEIN	F3	CAGL0B00990g	OFF	UP	UP	0	0
CAGL0B01012g		Ortholog(s) have L-proline transmembrane transporter activity, amino acid transmembrane transporter activity, role in amino acid transport, transmembrane transport and plasma membrane localization	0.816	5.588e-02	0.679	1.122e-01	-1.707	2.474e-03	-0.244	5.910e-01	0.897	0.819	-4.386	-0.535	0	0	-1	0	AGP1	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0B01012g	OFF	0	0	DOWN	0
CAGL0B01122g	SAM1	S-adenosylmethionine synthetase	-1.32	9.273e-05	-1.081	8.275e-04	-0.37	1.782e-02	-1.225	4.542e-04	-1.598	-1.494	-1.083	-2.251	0	0	0	-1	SAM1	IRON-SULFUR CLUSTER SYNTHESIS AND ASSEMBLY	_	F5	CAGL0B01122g	Type II	DOWN	0	0	DOWN
CAGL0B01507g	ARG8	Ortholog(s) have N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity, role in arginine biosynthetic process, arginine biosynthetic process via ornithine, ornithine biosynthetic process and mitochondrial matrix localization	-2.71	9.368e-05	-1.628	1.746e-05	0.49	1.619e-01	0.208	3.675e-01	-3.223	-2.214	1.042	0.255	-1	-1	0	0	ARG8	METABOLISM	AMINO ACID METABOLISM	F1	CAGL0B01507g	OFF	DOWN	DOWN	0	0
CAGL0B01639g		Ortholog(s) have guanyl-nucleotide exchange factor activity and role in retrograde transport, endosome to Golgi	0.001	9.952e-01	0.052	8.456e-01	0.419	2.429e-02	1.294	1.103e-03	-0.055	-0.006	0.867	2.155	0	0	0	1	RGP1	TRANSPORT / TRAFFICKING	ER/GOLGI TRANSPORT SYSTEM	F4	CAGL0B01639g	OFF	0	0	0	UP
CAGL0B01727g		Ortholog(s) have D-ribulokinase activity and role in pentose metabolic process	2.286	2.344e-06	2.744	5.263e-07	-0.154	2.846e-01	0.344	1.167e-01	2.613	3.533	-0.548	0.493	1	1	0	0	YDR109C	METABOLISM	ENERGY PRODUCTION (NON RESPIRATORY)	F1	CAGL0B01727g	OFF	UP	UP	0	0
CAGL0B01881g		Ortholog(s) have tRNA (guanine-N2-)-methyltransferase activity, role in tRNA N2-guanine methylation, tRNA methylation and mitochondrion, nuclear envelope, nuclear inner membrane localization	-1.96	1.376e-05	-1.586	2.263e-05	-0.354	3.684e-02	-0.448	3.983e-02	-2.347	-2.158	-1.043	-0.893	-1	-1	0	0	TRM1	METABOLISM	NUCLEIC ACID METABOLISM	F1	CAGL0B01881g	OFF	DOWN	DOWN	0	0
CAGL0B02475g	PHO84	Ortholog(s) have inorganic phosphate transmembrane transporter activity, manganese ion transmembrane transporter activity, selenite:proton symporter activity	-1.898	5.061e-05	-1.187	6.806e-03	1.23	4.859e-04	5.117	6.654e-07	-2.274	-1.633	2.871	8.842	-1	0	1	1	PHO84	REGULATION	OTHERS	F2	CAGL0B02475g	Type I	DOWN	DOWN	UP	UP
CAGL0B02585g		Ortholog(s) have role in ER-dependent peroxisome organization, endoplasmic reticulum inheritance, endoplasmic reticulum tubular network maintenance and endoplasmic reticulum tubular network organization, more	-0.478	6.322e-03	-1.563	1.206e-03	-0.103	4.286e-01	0.463	2.090e-01	-0.615	-2.127	-0.422	0.701	0	-1	0	0	RTN1	STRESS RESPONSE	_	Others	CAGL0B02585g	OFF	0	DOWN	0	0
CAGL0B02717g		Ortholog(s) have role in acetate catabolic process, carbon utilization and cytoplasm, extracellular region, nucleus localization	-0.358	4.576e-02	-0.866	1.252e-03	-0.571	1.920e-03	-1.683	1.845e-04	-0.475	-1.212	-1.578	-3.052	0	0	0	-1		IRON-SULFUR CLUSTER SYNTHESIS AND ASSEMBLY	_	F5	CAGL0B02717g	OFF	0	0	DOWN	DOWN
CAGL0B02794g		Ortholog(s) have (S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity, N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity	-0.817	1.016e-02	-0.008	9.725e-01	1.924	1.007e-04	0.378	1.449e-01	-1.012	-0.084	4.585	0.553	0	0	1	0	ADE13	METABOLISM	NUCLEIC ACID METABOLISM	F1	CAGL0B02794g	OFF	0	0	UP	0
CAGL0B02838g	MUP1	Protein of unknown function	2.149	3.501e-05	1.768	1.320e-04	0.628	1.032e-02	1.008	1.512e-02	2.453	2.25	1.384	1.655	1	1	0	0		TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0B02838g	OFF	UP	UP	0	0
CAGL0B02860g		Ortholog(s) have role in autophagy of mitochondrion, macroautophagy and mitochondrion localization	2.405	5.342e-05	0.919	2.063e-03	0.311	4.214e-02	0.548	3.721e-02	2.752	1.134	0.601	0.85	1	0	0	0	ATG33	METABOLISM	MITOPHAGY	F1	CAGL0B02860g	OFF	UP	0	0	0
CAGL0B02904g	BMT6	Beta mannosyltransferase	1.349	5.114e-05	0.905	2.703e-03	0.92	4.349e-04	0.473	7.912e-02	1.519	1.117	2.105	0.719	0	0	1	0		UNCLASSIFIED	_	Others	CAGL0B02904g	Type II	UP	0	UP	0
CAGL0B02970g	BMT5	Beta mannosyltransferase	0.149	3.505e-01	-0.628	8.470e-03	-0.604	5.918e-04	1.511	2.756e-04	0.117	-0.898	-1.66	2.535	0	0	0	1		UNCLASSIFIED	_	Others	CAGL0B02970g	SWITCH	0	0	DOWN	UP
CAGL0B03421g		Ortholog(s) have DNA-binding transcription activator activity, RNA polymerase II-specific, RNA polymerase II proximal promoter sequence-specific DNA binding activity	1.962	3.528e-05	0.956	4.370e-03	-0.495	2.326e-02	-0.904	7.635e-03	2.235	1.184	-1.392	-1.689	1	0	0	0	HAP1	REGULATION	TRANSCRIPTIONAL REGULATOR	F2	CAGL0B03421g	Type I	UP	0	0	DOWN
CAGL0B03619g		Ortholog(s) have endopeptidase activity, peptidase activity, serine-type endopeptidase activity	2.653	3.295e-06	1.934	1.098e-05	0.362	2.007e-02	0.608	1.953e-02	3.043	2.468	0.728	0.955	1	1	0	0	PRB1	METABOLISM	PROTEIN DEGRADATION	F1	CAGL0B03619g	OFF	UP	UP	0	0
CAGL0B03663g		Ortholog(s) have citrate (Si)-synthase activity, role in citrate metabolic process and cytoplasm, peroxisome localization	-0.746	9.004e-03	0.599	2.115e-02	-0.825	4.162e-03	-0.227	4.275e-01	-0.928	0.714	-2.205	-0.505	0	0	-1	0	CIT2	METABOLISM	ENERGY PRODUCTION (RESPIRATORY)	F1	CAGL0B03663g	OFF	0	0	DOWN	0
CAGL0B03817g		Ortholog(s) have cytoplasm, nucleus localization	2.82	2.526e-05	2.11	2.453e-06	0.155	4.857e-01	-0.188	4.658e-01	3.237	2.7	0.214	-0.437	1	1	0	0	MHO1	REGULATION	UNKNOWN	F2	CAGL0B03817g	OFF	UP	UP	0	0
CAGL0B03993g		Ortholog(s) have dihydroxy-acid dehydratase activity and role in branched-chain amino acid biosynthetic process	-2.692	6.954e-06	-1.201	1.320e-04	0.395	2.841e-02	0.697	6.719e-03	-3.202	-1.652	0.808	1.11	-1	0	0	0	ILV3	METABOLISM	AMINO ACID METABOLISM	F1	CAGL0B03993g	OFF	DOWN	DOWN	0	0
CAGL0B04213g		Ortholog(s) have role in positive regulation of glycerol transport	1.043	1.001e-02	0.266	3.347e-01	1.85	3.381e-05	1.847	3.940e-05	1.162	0.277	4.405	3.123	0	0	1	1	RGC1	REGULATION	OTHERS	F2	CAGL0B04213g	OFF	0	0	UP	UP
CAGL0B04433g		Has domain(s) with predicted nucleobase transmembrane transporter activity, transmembrane transporter activity, role in nucleobase transport, transmembrane transport and membrane localization	-0.761	4.497e-03	-0.329	2.436e-01	0.62	3.408e-03	1.845	1.711e-04	-0.945	-0.506	1.364	3.119	0	0	0	1		TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0B04433g	OFF	0	0	0	UP
CAGL0B04675g		Ortholog(s) have RNA binding, endoribonuclease activity, ribosome binding activity	4.856	6.841e-07	4.403	3.783e-07	-1.565	5.284e-04	-1.898	9.266e-05	5.616	5.715	-4.034	-3.429	1	1	-1	-1	DOM34	REGULATION	TRANSLATION	F2	CAGL0B04675g	Type I	UP	UP	DOWN	DOWN
CAGL0C00110g	EPA6	Sub-telomerically encoded adhesin with a role in cell adhesion; binds to ligands containing a terminal galactose residue; expressed during murine urinary tract infection, biofilm-upregulated; belongs to adhesin cluster I	0.22	4.376e-01	-1.048	3.011e-04	-0.357	1.547e-01	1.378	1.059e-04	0.2	-1.451	-1.049	2.302	0	0	0	1		UNCLASSIFIED	_	Others	CAGL0C00110g	OFF	0	0	0	UP
CAGL0C00275g	HSP31	Putative cysteine protease; protein differentially expressed in azole resistant strain; gene is upregulated in azole-resistant strain	3.891	5.099e-06	1.406	1.372e-04	1.641	1.462e-05	0.893	1.229e-03	4.489	1.775	3.888	1.454	1	0	1	0		STRESS RESPONSE	_	Others	CAGL0C00275g	Type II	UP	UP	UP	0
CAGL0C00495g		Ortholog(s) have cyclin-dependent protein serine/threonine kinase activator activity, histone binding, protein kinase activator activity, protein-containing complex binding, ubiquitin binding, zinc ion binding activity	-0.654	3.156e-03	-0.621	2.976e-02	-0.971	2.448e-04	-0.619	3.648e-02	-0.821	-0.89	-2.566	-1.191	0	0	-1	0	CKS1	REGULATION	SIGNAL TRANSDUCTION	F2	CAGL0C00495g	OFF	0	0	DOWN	0
CAGL0C00539g		Ortholog(s) have role in positive regulation of (R)-carnitine transmembrane transport, positive regulation of polyamine transmembrane transport	0.27	2.034e-01	0.298	1.341e-01	-1.114	3.890e-05	0.428	5.096e-02	0.259	0.319	-2.921	0.641	0	0	-1	0	AGP2	REGULATION	OTHERS	F2	CAGL0C00539g	OFF	0	0	DOWN	0
CAGL0C00759g		Ortholog(s) have transcription coactivator activity and role in chromatin silencing at telomere, positive regulation of ribosomal protein gene transcription by RNA polymerase II	-0.312	8.230e-02	0.375	1.271e-01	-0.087	4.269e-01	-1.692	1.111e-04	-0.421	0.42	-0.382	-3.069	0	0	0	-1	IFH1	REGULATION	TRANSLATION	F2	CAGL0C00759g	OFF	0	0	0	DOWN
CAGL0C00968g		Adhesin-like protein with a predicted role in cell adhesion; belongs to adhesin cluster VII; predicted GPI-anchor	0.385	1.580e-02	-0.207	4.423e-01	-0.067	6.248e-01	1.336	2.548e-03	0.393	-0.345	-0.334	2.228	0	0	0	1		UNCLASSIFIED	_	Others	CAGL0C00968g	OFF	0	0	0	UP
CAGL0C01133g		Adhesin-like protein; belongs to adhesin cluster VII; predicted GPI anchor	0.226	9.293e-02	-0.32	2.421e-01	-0.024	8.467e-01	1.241	3.700e-03	0.207	-0.494	-0.228	2.062	0	0	0	1		UNCLASSIFIED	_	Others	CAGL0C01133g	OFF	0	0	0	UP
CAGL0C01287g		Ortholog(s) have role in DNA transport, cell redox homeostasis, positive regulation of protein serine/threonine kinase activity and mitochondrial outer membrane localization	-1.417	5.107e-05	-0.996	5.454e-04	-0.154	1.417e-01	-1.192	2.332e-04	-1.713	-1.383	-0.548	-2.193	0	0	0	-1	POR2	REGULATION	OTHERS	F2	CAGL0C01287g	Type II	DOWN	0	0	DOWN
CAGL0C01325g		Ortholog(s) have cytochrome-c oxidase activity, nitrite reductase (NO-forming) activity, role in mitochondrial electron transport, cytochrome c to oxygen and mitochondrial respiratory chain complex IV localization	-1.803	7.328e-05	-1.805	1.649e-05	-0.141	2.814e-01	0.71	1.983e-02	-2.163	-2.446	-0.516	1.133	-1	-1	0	0	COX5B	REDOX SIGNALING	RESPIRATORY CHAIN	F3	CAGL0C01325g	OFF	DOWN	DOWN	0	0
CAGL0C01595g		Ortholog(s) have glutaminase activity, imidazoleglycerol-phosphate synthase activity and role in histidine biosynthetic process	-0.234	5.637e-01	0.597	4.143e-02	0.384	6.362e-02	1.375	1.242e-03	-0.33	0.712	0.78	2.296	0	0	0	1	HIS7	METABOLISM	AMINO ACID METABOLISM	F1	CAGL0C01595g	OFF	0	0	0	UP
CAGL0C01727g		Ortholog(s) have UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity	-0.397	7.895e-03	-0.185	4.026e-01	-0.763	7.977e-04	-0.058	8.653e-01	-0.521	-0.317	-2.054	-0.209	0	0	-1	0	ALG7	REDOX SIGNALING	METABOLISM	F3	CAGL0C01727g	OFF	0	0	DOWN	0
CAGL0C01749g		Ortholog(s) have 5'-deoxynucleotidase activity, GMP 5'-nucleotidase activity and role in deoxyribonucleoside monophosphate catabolic process	0.19	4.038e-01	-0.951	1.216e-03	-0.826	1.039e-04	-1.244	5.293e-04	0.166	-1.323	-2.208	-2.284	0	0	-1	-1	YBR242W	UNCLASSIFIED	_	Others	CAGL0C01749g	OFF	0	0	DOWN	DOWN
CAGL0C01771g		Ortholog(s) have fungal-type vacuole membrane localization	2.72	2.754e-06	2.327	4.121e-06	0.018	9.279e-01	0.767	7.000e-03	3.12	2.986	-0.122	1.233	1	1	0	0	YBR241C	TRANSPORT / TRAFFICKING	MITOCHONDRIA	F4	CAGL0C01771g	OFF	UP	UP	0	0
CAGL0C02035g		Ortholog(s) have metallodipeptidase activity, omega peptidase activity, role in glutathione catabolic process and cytoplasm, fungal biofilm matrix localization	-1.694	1.528e-05	-1.712	1.025e-05	-0.261	7.261e-02	-0.406	1.104e-01	-2.035	-2.324	-0.812	-0.818	-1	-1	0	0	DUG1	IRON-SULFUR CLUSTER SYNTHESIS AND ASSEMBLY	_	F5	CAGL0C02035g	OFF	DOWN	DOWN	0	0
CAGL0C02233g		Ortholog(s) have L-methionine-(S)-S-oxide reductase activity, peptide-methionine (S)-S-oxide reductase activity, role in L-methionine salvage from methionine sulphoxide, cellular response to oxidative stress and cytoplasm localization	-0.141	3.546e-01	1.609	3.708e-05	0.14	3.567e-01	-0.345	1.454e-01	-0.221	2.042	0.178	-0.712	0	1	0	0	MXR1	REDOX SIGNALING	THIOL REDOX	F3	CAGL0C02233g	OFF	0	UP	0	0
CAGL0C02365g		Protein of unknown function	2.064	2.226e-05	1.05	3.163e-03	0.05	7.821e-01	0.119	6.499e-01	2.355	1.307	-0.043	0.1	1	0	0	0		UNCLASSIFIED	_	Others	CAGL0C02365g	OFF	UP	0	0	0
